"time","db","freq"
" 18:23:04",11.66,24000000
" 18:23:04",12.37,24500000
" 18:23:04",12.23,25000000
" 18:23:04",12.23,25500000
" 18:23:04",13.41,26000000
" 18:23:04",15.22,26500000
" 18:23:04",14.82,27000000
" 18:23:04",14.82,27500000
" 18:23:04",14.89,28000000
" 18:23:04",17.16,28500000
" 18:23:04",17.48,29000000
" 18:23:04",17.48,29500000
" 18:23:04",13.72,30000000
" 18:23:04",15.57,30500000
" 18:23:04",15.38,31000000
" 18:23:04",15.38,31500000
" 18:23:04",11.87,32000000
" 18:23:04",12.4,32500000
" 18:23:04",12.59,33000000
" 18:23:04",12.59,33500000
" 18:23:04",12.15,34000000
" 18:23:04",13.4,34500000
" 18:23:04",12.46,35000000
" 18:23:04",12.46,35500000
" 18:23:04",13.74,36000000
" 18:23:04",13.78,36500000
" 18:23:04",15.68,37000000
" 18:23:04",15.68,37500000
" 18:23:04",13.61,38000000
" 18:23:04",15.56,38500000
" 18:23:04",13.75,39000000
" 18:23:04",13.75,39500000
" 18:23:04",11.03,40000000
" 18:23:04",11.93,40500000
" 18:23:04",12.33,41000000
" 18:23:04",12.33,41500000
" 18:23:04",11.53,42000000
" 18:23:04",12.75,42500000
" 18:23:04",13.26,43000000
" 18:23:04",13.26,43500000
" 18:23:04",11.64,44000000
" 18:23:04",12.27,44500000
" 18:23:04",12.78,45000000
" 18:23:04",12.78,45500000
" 18:23:04",14.31,46000000
" 18:23:04",13.83,46500000
" 18:23:04",15.97,47000000
" 18:23:04",15.97,47500000
" 18:23:04",15.47,48000000
" 18:23:04",17.2,48500000
" 18:23:04",16.98,49000000
" 18:23:04",16.98,49500000
" 18:23:04",16.56,50000000
" 18:23:04",18.39,50500000
" 18:23:04",16.82,51000000
" 18:23:04",16.82,51500000
" 18:23:04",14.98,52000000
" 18:23:04",16.58,52500000
" 18:23:04",16.04,53000000
" 18:23:04",16.04,53500000
" 18:23:04",16.52,54000000
" 18:23:04",15.96,54500000
" 18:23:04",16.33,55000000
" 18:23:04",16.33,55500000
" 18:23:04",14.16,56000000
" 18:23:04",16.52,56500000
" 18:23:04",14.88,57000000
" 18:23:04",14.88,57500000
" 18:23:04",13.8,58000000
" 18:23:04",16.52,58500000
" 18:23:04",14.87,59000000
" 18:23:04",14.87,59500000
" 18:23:04",14.19,60000000
" 18:23:04",13.82,60500000
" 18:23:04",14.99,61000000
" 18:23:04",14.99,61500000
" 18:23:04",14.66,62000000
" 18:23:04",15.47,62500000
" 18:23:04",15.83,63000000
" 18:23:04",15.83,63500000
" 18:23:04",14.69,64000000
" 18:23:04",15.32,64500000
" 18:23:04",15.37,65000000
" 18:23:04",15.37,65500000
" 18:23:04",14.39,66000000
" 18:23:04",17.03,66500000
" 18:23:04",14.95,67000000
" 18:23:04",14.95,67500000
" 18:23:04",15.35,68000000
" 18:23:04",16.93,68500000
" 18:23:04",16.37,69000000
" 18:23:04",16.37,69500000
" 18:23:04",14.56,70000000
" 18:23:04",16.32,70500000
" 18:23:04",15.87,71000000
" 18:23:04",15.87,71500000
" 18:23:04",16.15,72000000
" 18:23:04",16.42,72500000
" 18:23:04",17.14,73000000
" 18:23:04",17.14,73500000
" 18:23:04",16.62,74000000
" 18:23:04",18.92,74500000
" 18:23:04",17.25,75000000
" 18:23:04",17.25,75500000
" 18:23:04",15.73,76000000
" 18:23:04",17.15,76500000
" 18:23:04",17.54,77000000
" 18:23:04",17.54,77500000
" 18:23:04",15.89,78000000
" 18:23:04",16,78500000
" 18:23:04",17.28,79000000
" 18:23:04",17.28,79500000
" 18:23:04",14.72,80000000
" 18:23:04",16.29,80500000
" 18:23:04",17.47,81000000
" 18:23:04",17.47,81500000
" 18:23:04",14.72,82000000
" 18:23:04",15.77,82500000
" 18:23:04",15.64,83000000
" 18:23:04",15.64,83500000
" 18:23:04",11,84000000
" 18:23:04",12.66,84500000
" 18:23:04",13.29,85000000
" 18:23:04",13.29,85500000
" 18:23:04",10.83,86000000
" 18:23:04",12.55,86500000
" 18:23:04",12.24,87000000
" 18:23:04",12.24,87500000
" 18:23:04",10.54,88000000
" 18:23:04",12.92,88500000
" 18:23:04",11.75,89000000
" 18:23:04",11.75,89500000
" 18:23:04",17.52,90000000
" 18:23:04",20.76,90500000
" 18:23:04",13.86,91000000
" 18:23:04",13.86,91500000
" 18:23:04",14.51,92000000
" 18:23:04",16.19,92500000
" 18:23:04",16.65,93000000
